Wall time,Step,Value
1670895021.4994683,199,0.375
1670895044.5032809,249,0.5
1670895184.4784322,549,0.46875
1670895277.8793314,749,0.4375
1670895300.8927362,799,0.4375
1670895371.0162413,949,0.40625
1670895394.3247926,999,0.4375
1670895417.5861433,1049,0.46875
1670895464.313058,1149,0.625
1670895487.6731813,1199,0.5
1670895558.1227708,1349,0.59375
1670895581.4359856,1399,0.46875
1670895722.710506,1699,0.5625
1670895810.5524414,1849,0.59375
1670895833.6448038,1899,0.5
1670895856.5053551,1949,0.5625
1670895902.7939682,2049,0.5625
1670896066.1907887,2399,0.53125
1670896089.387831,2449,0.40625
1670896112.7458544,2499,0.625
1670896159.939932,2599,0.65625
1670896230.086292,2749,0.5625
1670896299.9942613,2899,0.53125
1670896369.8060925,3049,0.53125
1670896393.2225528,3099,0.53125
1670896416.5146658,3149,0.65625
1670896440.1020532,3199,0.40625
1670896487.0950053,3299,0.46875
1670896510.5350087,3349,0.5
1670896534.0262632,3399,0.5625
1670896557.4240983,3449,0.65625
1670896604.2913992,3549,0.46875
1670896627.7187934,3599,0.5625
1670896783.420362,3899,0.40625
1670896830.4183867,3999,0.5
1670896853.5865655,4049,0.5
1670896900.1385894,4149,0.5625
1670896969.8855915,4299,0.53125
1670897063.6257691,4499,0.6875
1670897086.9168158,4549,0.46875
1670897297.8240447,4999,0.59375
1670897321.129451,5049,0.53125
1670897391.0161123,5199,0.5625
1670897461.214761,5349,0.53125
1670897484.6057017,5399,0.40625
1670897546.7293334,5499,0.625
1670897710.4591286,5849,0.4375
1670897826.874451,6099,0.59375
1670897920.461511,6299,0.65625
1670897943.5993989,6349,0.5625
1670897990.2030451,6449,0.625
1670898037.4595373,6549,0.28125
1670898060.8120096,6599,0.4375
1670898178.3109117,6849,0.59375
1670898201.3556485,6899,0.65625
1670898365.2407546,7249,0.34375
1670898428.2964063,7349,0.53125
1670898451.7806413,7399,0.46875
1670898521.8862667,7549,0.75
1670898685.6365652,7899,0.5
1670898732.1368113,7999,0.5625
1670898755.327135,8049,0.53125
1670898802.096129,8149,0.5
1670898849.124234,8249,0.625
1670898989.4425387,8549,0.5
1670899012.893696,8599,0.59375
1670899036.3946652,8649,0.6875
1670899106.6349442,8799,0.53125
1670899130.2023094,8849,0.6875
1670899153.520085,8899,0.46875
1670899176.9440777,8949,0.6875
1670899224.025133,9049,0.4375
1670899247.7889557,9099,0.65625
1670899334.596338,9249,0.5
1670899357.8465881,9299,0.59375
1670899380.68377,9349,0.65625
1670899473.679829,9549,0.875
1670899496.931456,9599,0.59375
1670899520.2497735,9649,0.5625
1670899590.3134322,9799,0.46875
1670899683.8724575,9999,0.625
1670899707.568283,10049,0.65625
1670899754.122715,10149,0.65625
1670899777.3010852,10199,0.6875
1670899800.6949565,10249,0.625
1670899823.8908217,10299,0.65625
1670899870.7091002,10399,0.5625
1670899917.5565581,10499,0.71875
1670899965.0606782,10599,0.65625
1670900011.6616879,10699,0.5625
1670900058.5277412,10799,0.53125
1670900081.9381237,10849,0.59375
1670900168.4197283,10999,0.6875
1670900192.0223608,11049,0.8125
1670900215.3198602,11099,0.65625
1670900238.3800085,11149,0.71875
1670900285.1404593,11249,0.5
1670900401.527354,11499,0.46875
1670900587.9408581,11899,0.6875
1670900611.3739696,11949,0.53125
1670900634.7665591,11999,0.65625
1670900681.5224237,12099,0.53125
1670900704.7475271,12149,0.59375
1670900751.3551476,12249,0.65625
1670900774.768967,12299,0.71875
1670900798.1187558,12349,0.46875
1670900821.4638598,12399,0.59375
1670900939.3035727,12649,0.65625
1670900962.7710662,12699,0.625
1670900986.1068473,12749,0.53125
1670901095.9462197,12949,0.5625
1670901119.1399527,12999,0.65625
1670901142.437373,13049,0.5
1670901188.8441966,13149,0.65625
1670901375.9157376,13549,0.65625
1670901398.9429917,13599,0.8125
1670901469.1440456,13749,0.75
1670901515.7134006,13849,0.5
1670901562.072864,13949,0.625
1670901609.1536856,14049,0.625
1670901656.2816327,14149,0.625
1670901679.7777493,14199,0.71875
1670901726.7249172,14299,0.59375
1670901773.3019083,14399,0.71875
1670901796.6309898,14449,0.53125
1670901843.4219844,14549,0.625
1670901976.5556154,14799,0.78125
1670901999.672657,14849,0.78125
1670902022.6710074,14899,0.65625
1670902045.7208934,14949,0.6875
1670902232.2500849,15349,0.46875
1670902279.220242,15449,0.59375
1670902302.7638285,15499,0.625
1670902373.035586,15649,0.625
1670902466.4722166,15849,0.75
1670902513.0855186,15949,0.75
1670902536.4230366,15999,0.71875
1670902606.5256245,16149,0.59375
1670902653.2118258,16249,0.78125
1670902787.4837077,16499,0.6875
1670902833.6347835,16599,0.53125
1670902857.0627089,16649,0.75
1670902974.2741406,16899,0.65625
1670902997.5784473,16949,0.8125
1670903044.2463813,17049,0.71875
1670903114.5371666,17199,0.78125
1670903138.0552654,17249,0.78125
1670903161.584346,17299,0.71875
1670903184.9068987,17349,0.90625
1670903277.8729575,17549,0.78125
1670903324.9380753,17649,0.40625
1670903348.3948538,17699,0.8125
1670903371.7863076,17749,0.65625
1670903465.4306562,17949,0.75
1670903558.7734313,18149,0.75
1670903582.2384114,18199,0.71875
1670903605.7807658,18249,0.75
1670903626.830482,18299,0.65625
1670903668.96942,18349,0.6875
1670903692.1965375,18399,0.71875
1670903855.3289049,18749,0.78125
1670903925.1195836,18899,0.53125
1670903948.525286,18949,0.46875
1670904136.2554276,19349,0.6875
1670904230.363104,19549,0.75
1670904253.8224783,19599,0.8125
1670904277.113216,19649,0.84375
1670904300.6959841,19699,0.8125
1670904323.9598641,19749,0.8125
1670904394.7563639,19899,0.5625
1670904527.6947606,20149,0.75
1670904574.5898352,20249,0.59375
1670904667.450371,20449,0.84375
1670904690.7157562,20499,0.84375
1670904784.1295998,20699,0.53125
1670904807.400113,20749,0.84375
1670904830.8406928,20799,0.59375
1670904900.8272562,20949,0.65625
1670904971.013969,21099,0.78125
1670904994.5281618,21149,0.6875
1670905064.3219943,21299,0.6875
1670905087.805842,21349,0.6875
1670905181.7694027,21549,0.75
1670905205.1841207,21599,0.78125
1670905298.7725322,21799,0.78125
1670905322.3604438,21849,0.71875
1670905345.5297365,21899,0.78125
1670905409.0530934,21999,0.75
1670905432.3439376,22049,0.65625
1670905455.6442468,22099,0.78125
1670905501.7745185,22199,0.625
1670905525.3001864,22249,0.5625
1670905548.558017,22299,0.75
1670905572.1629565,22349,0.75
1670905664.861952,22549,0.84375
1670905688.2357755,22599,0.71875
1670905711.72895,22649,0.78125
1670905735.3020432,22699,0.78125
1670905758.7476985,22749,0.59375
