Wall time,Step,Value
1670895021.4994535,199,0.5
1670895044.503266,249,0.5
1670895184.4784174,549,0.40625
1670895277.8793168,749,0.40625
1670895300.8927155,799,0.4375
1670895371.0162263,949,0.46875
1670895394.3247778,999,0.53125
1670895417.5861206,1049,0.46875
1670895464.313043,1149,0.5
1670895487.6731663,1199,0.59375
1670895558.1227555,1349,0.3125
1670895581.435971,1399,0.5625
1670895722.7104902,1699,0.4375
1670895810.5524266,1849,0.5625
1670895833.644789,1899,0.40625
1670895856.50534,1949,0.5625
1670895902.7939503,2049,0.375
1670896066.1907668,2399,0.5625
1670896089.387816,2449,0.46875
1670896112.7458375,2499,0.34375
1670896159.9399168,2599,0.34375
1670896230.0862765,2749,0.46875
1670896299.9942465,2899,0.5
1670896369.8060765,3049,0.53125
1670896393.2225325,3099,0.625
1670896416.514651,3149,0.53125
1670896440.102037,3199,0.34375
1670896487.09499,3299,0.53125
1670896510.5349934,3349,0.4375
1670896534.0262482,3399,0.4375
1670896557.4240825,3449,0.3125
1670896604.2913835,3549,0.40625
1670896627.718769,3599,0.5
1670896783.4203472,3899,0.53125
1670896830.4183707,3999,0.5625
1670896853.5865505,4049,0.34375
1670896900.1385744,4149,0.4375
1670896969.885576,4299,0.5
1670897063.6257548,4499,0.3125
1670897086.9168003,4549,0.625
1670897297.8240302,4999,0.40625
1670897321.129437,5049,0.3125
1670897391.0160983,5199,0.375
1670897461.2147467,5349,0.40625
1670897484.6056788,5399,0.40625
1670897546.7293193,5499,0.53125
1670897710.4591148,5849,0.4375
1670897826.874436,6099,0.46875
1670897920.4614968,6299,0.4375
1670897943.5993848,6349,0.53125
1670897990.2030308,6449,0.375
1670898037.4595227,6549,0.59375
1670898060.8119948,6599,0.5
1670898178.3108966,6849,0.46875
1670898201.3556323,6899,0.34375
1670898365.24074,7249,0.53125
1670898428.2963922,7349,0.34375
1670898451.7806265,7399,0.53125
1670898521.886251,7549,0.53125
1670898685.636551,7899,0.40625
1670898732.136797,7999,0.40625
1670898755.327119,8049,0.46875
1670898802.0961146,8149,0.5625
1670898849.1242135,8249,0.625
1670898989.4425247,8549,0.34375
1670899012.8936806,8599,0.4375
1670899036.394651,8649,0.46875
1670899106.63493,8799,0.4375
1670899130.202295,8849,0.53125
1670899153.5200703,8899,0.46875
1670899176.9440634,8949,0.6875
1670899224.0251174,9049,0.5625
1670899247.7889414,9099,0.53125
1670899334.5963237,9249,0.3125
1670899357.8465734,9299,0.40625
1670899380.6837556,9349,0.5625
1670899473.6798148,9549,0.3125
1670899496.9314365,9599,0.375
1670899520.2497592,9649,0.40625
1670899590.313418,9799,0.53125
1670899683.8724432,9999,0.46875
1670899707.5682638,10049,0.65625
1670899754.1227007,10149,0.4375
1670899777.301071,10199,0.53125
1670899800.6949422,10249,0.5
1670899823.8908072,10299,0.625
1670899870.709085,10399,0.21875
1670899917.5565443,10499,0.59375
1670899965.0606635,10599,0.59375
1670900011.6616726,10699,0.46875
1670900058.527726,10799,0.4375
1670900081.9381096,10849,0.28125
1670900168.4197142,10999,0.625
1670900192.0223467,11049,0.8125
1670900215.3198464,11099,0.5
1670900238.3799932,11149,0.53125
1670900285.1404452,11249,0.4375
1670900401.5273387,11499,0.4375
1670900587.940844,11899,0.625
1670900611.373954,11949,0.53125
1670900634.7665448,11999,0.46875
1670900681.5224094,12099,0.4375
1670900704.7475128,12149,0.46875
1670900751.3551335,12249,0.5
1670900774.7689524,12299,0.46875
1670900798.1187403,12349,0.5
1670900821.4638367,12399,0.46875
1670900939.3035574,12649,0.65625
1670900962.7710514,12699,0.5
1670900986.106833,12749,0.5
1670901095.9461942,12949,0.40625
1670901119.1399384,12999,0.5
1670901142.4373574,13049,0.4375
1670901188.8441818,13149,0.5625
1670901375.9157236,13549,0.40625
1670901398.9429774,13599,0.625
1670901469.1440308,13749,0.5
1670901515.7133863,13849,0.375
1670901562.0728495,13949,0.53125
1670901609.1536715,14049,0.53125
1670901656.2816179,14149,0.78125
1670901679.7777352,14199,0.59375
1670901726.7249017,14299,0.40625
1670901773.3018937,14399,0.5
1670901796.6309657,14449,0.5
1670901843.4219697,14549,0.375
1670901976.5556011,14799,0.5
1670901999.6726425,14849,0.53125
1670902022.670992,14899,0.59375
1670902045.720879,14949,0.4375
1670902232.2500706,15349,0.375
1670902279.2202275,15449,0.5
1670902302.7638128,15499,0.375
1670902373.0355718,15649,0.53125
1670902466.4722025,15849,0.5625
1670902513.085504,15949,0.46875
1670902536.4230225,15999,0.4375
1670902606.5256102,16149,0.4375
1670902653.211811,16249,0.53125
1670902787.4836936,16499,0.5
1670902833.634769,16599,0.625
1670902857.062694,16649,0.625
1670902974.274126,16899,0.40625
1670902997.578433,16949,0.6875
1670903044.2463663,17049,0.59375
1670903114.537152,17199,0.53125
1670903138.0552464,17249,0.5625
1670903161.5843315,17299,0.53125
1670903184.9068844,17349,0.6875
1670903277.872943,17549,0.5
1670903324.93806,17649,0.34375
1670903348.3948383,17699,0.59375
1670903371.7862928,17749,0.5
1670903465.4306417,17949,0.71875
1670903558.7734172,18149,0.53125
1670903582.2383971,18199,0.59375
1670903605.7807503,18249,0.65625
1670903626.8304667,18299,0.5625
1670903668.9693992,18349,0.53125
1670903692.1965227,18399,0.625
1670903855.3288896,18749,0.5625
1670903925.1195688,18899,0.46875
1670903948.525272,18949,0.46875
1670904136.2554133,19349,0.625
1670904230.3630896,19549,0.65625
1670904253.8224638,19599,0.53125
1670904277.1131995,19649,0.625
1670904300.6959693,19699,0.6875
1670904323.9598494,19749,0.53125
1670904394.756349,19899,0.53125
1670904527.6947467,20149,0.5
1670904574.5898197,20249,0.4375
1670904667.4503555,20449,0.5625
1670904690.7157407,20499,0.53125
1670904784.1295805,20699,0.40625
1670904807.4000988,20749,0.59375
1670904830.8406787,20799,0.5625
1670904900.827242,20949,0.53125
1670904971.0139546,21099,0.6875
1670904994.5281463,21149,0.4375
1670905064.3219779,21299,0.46875
1670905087.8058279,21349,0.625
1670905181.7693884,21549,0.53125
1670905205.1841068,21599,0.59375
1670905298.7725182,21799,0.59375
1670905322.3604295,21849,0.46875
1670905345.52972,21899,0.5625
1670905409.0530791,21999,0.65625
1670905432.343923,22049,0.59375
1670905455.6442325,22099,0.6875
1670905501.7745028,22199,0.53125
1670905525.3001723,22249,0.59375
1670905548.5580025,22299,0.40625
1670905572.162942,22349,0.625
1670905664.8619363,22549,0.46875
1670905688.2357612,22599,0.625
1670905711.728932,22649,0.625
1670905735.3020291,22699,0.65625
1670905758.747684,22749,0.5
1670905805.2820485,22849,0.6875
1670905852.279694,22949,0.625
1670905898.8769212,23049,0.4375
1670905922.3749413,23099,0.625
1670906015.8201983,23299,0.75
1670906038.9590704,23349,0.59375
1670906085.8142712,23449,0.40625
1670906132.814287,23549,0.59375
1670906225.8424764,23749,0.65625
1670906246.1638741,23799,0.6875
1670906335.8811128,23949,0.625
1670906359.0950234,23999,0.65625
1670906382.3807278,24049,0.6875
1670906405.6379156,24099,0.46875
1670906451.889372,24199,0.625
1670906475.1461232,24249,0.53125
1670906545.3857687,24399,0.5
1670906568.814911,24449,0.59375
1670906592.4433286,24499,0.5
1670906638.8247802,24599,0.5625
1670906709.0497675,24749,0.6875
1670906802.8178105,24949,0.5
1670906896.402068,25149,0.59375
1670906919.8015246,25199,0.5
1670906990.4411843,25349,0.53125
1670907060.384496,25499,0.53125
1670907083.9471362,25549,0.5625
1670907107.5306795,25599,0.46875
1670907147.4936872,25649,0.53125
1670907170.5765948,25699,0.5625
1670907193.8314402,25749,0.5625
1670907263.4919813,25899,0.4375
1670907286.685278,25949,0.4375
1670907309.6955214,25999,0.625
1670907333.2416077,26049,0.5625
1670907403.031599,26199,0.71875
1670907566.373228,26549,0.53125
1670907636.1218162,26699,0.40625
1670907659.637559,26749,0.625
1670907706.6154206,26849,0.46875
1670907730.0175993,26899,0.625
1670907753.7523668,26949,0.40625
1670907777.181606,26999,0.4375
1670907800.2222178,27049,0.59375
1670907847.255092,27149,0.65625
1670907893.915178,27249,0.5
1670907940.5992858,27349,0.625
1670907963.988062,27399,0.59375
1670908051.0293422,27549,0.59375
1670908097.5723066,27649,0.5625
1670908167.5638216,27799,0.65625
1670908190.9164603,27849,0.53125
1670908330.7332957,28149,0.6875
1670908353.870045,28199,0.5625
1670908376.8173132,28249,0.5625
1670908470.7029247,28449,0.40625
1670908540.6048493,28599,0.65625
1670908587.2599452,28699,0.75
1670908657.5842614,28849,0.6875
1670908750.8121016,29049,0.6875
1670908844.7882235,29249,0.71875
1670908884.313246,29299,0.375
1670908908.1422622,29349,0.5625
1670908954.798662,29449,0.5625
1670909001.211808,29549,0.5
1670909024.732162,29599,0.53125
1670909047.8802044,29649,0.59375
1670909094.6929836,29749,0.5
1670909141.2796724,29849,0.59375
1670909164.523817,29899,0.71875
1670909187.9728453,29949,0.5
1670909211.1868923,29999,0.65625
1670909258.0667424,30099,0.65625
1670909281.4090238,30149,0.5625
1670909304.7967727,30199,0.71875
1670909351.905469,30299,0.5625
1670909422.5892599,30449,0.625
1670909469.6567261,30549,0.65625
1670909539.5760496,30699,0.4375
1670909563.0573642,30749,0.6875
1670909609.867722,30849,0.625
1670909656.6917496,30949,0.53125
1670909703.1409426,31049,0.5625
1670909766.6961198,31149,0.4375
1670909789.9002728,31199,0.625
1670909859.3667183,31349,0.78125
1670909906.4710813,31449,0.59375
1670909929.6532729,31499,0.625
1670910022.6419783,31699,0.5
1670910116.1555538,31899,0.65625
1670910186.2013764,32049,0.65625
1670910209.631067,32099,0.75
1670910232.9740074,32149,0.59375
1670910256.50176,32199,0.65625
1670910279.721771,32249,0.5625
1670910396.6795292,32499,0.65625
1670910443.4330294,32599,0.53125
1670910466.7789323,32649,0.625
1670910490.4490614,32699,0.53125
1670910513.8022718,32749,0.46875
1670910537.3146572,32799,0.5
1670910605.308463,32949,0.5625
1670910670.7693412,33049,0.46875
1670910834.0371082,33399,0.46875
1670910904.1394804,33549,0.59375
1670911020.8662646,33799,0.59375
1670911044.0537705,33849,0.59375
1670911067.6567197,33899,0.6875
1670911137.3033438,34049,0.6875
1670911184.1149497,34149,0.5625
1670911207.507422,34199,0.5625
1670911230.859318,34249,0.625
1670911301.0151708,34399,0.625
1670911418.3194187,34649,0.4375
1670911465.2874074,34749,0.65625
1670911528.523824,34849,0.71875
1670911552.2689579,34899,0.6875
1670911598.4568844,34999,0.78125
1670911668.9035416,35149,0.59375
1670911692.0930798,35199,0.4375
1670911739.0331893,35299,0.65625
1670911832.9723935,35499,0.5625
1670911856.278346,35549,0.53125
1670911902.944034,35649,0.625
1670911973.3763692,35799,0.625
1670912020.113339,35899,0.65625
1670912090.7281137,36049,0.8125
1670912114.0855284,36099,0.59375
1670912160.8086295,36199,0.71875
1670912207.440493,36299,0.4375
1670912230.6572232,36349,0.53125
1670912277.3892667,36449,0.625
1670912300.8320413,36499,0.59375
1670912346.4064932,36599,0.625
1670912387.5205824,36649,0.625
1670912410.5785277,36699,0.65625
1670912526.6422203,36949,0.78125
1670912620.1506042,37149,0.59375
1670912643.4881003,37199,0.65625
1670912666.9876955,37249,0.53125
1670912924.0267444,37799,0.75
1670912947.3680987,37849,0.71875
1670912994.346435,37949,0.53125
1670913110.3202534,38199,0.71875
1670913133.9358244,38249,0.625
1670913157.6359289,38299,0.59375
1670913224.7486224,38449,0.53125
1670913267.8572996,38499,0.46875
1670913337.836926,38649,0.59375
1670913407.91906,38799,0.71875
1670913431.123306,38849,0.75
1670913477.5840812,38949,0.6875
1670913501.1166823,38999,0.59375
1670913524.4058375,39049,0.5625
1670913547.6936314,39099,0.6875
1670913571.0473304,39149,0.65625
1670913711.116373,39449,0.625
1670913781.465215,39599,0.75
1670913828.302023,39699,0.6875
1670913875.0891962,39799,0.6875
1670913968.9180527,39999,0.5
1670914086.2156768,40249,0.59375
1670914126.363238,40299,0.59375
1670914149.4534686,40349,0.65625
1670914172.3669224,40399,0.46875
1670914242.2656667,40549,0.6875
1670914427.9401836,40949,0.46875
1670914451.2874138,40999,0.53125
1670914497.9796999,41099,0.65625
1670914544.7862031,41199,0.53125
1670914615.1590838,41349,0.59375
1670914638.3816233,41399,0.65625
1670914661.9745297,41449,0.65625
1670914755.7007256,41649,0.625
1670914779.070232,41699,0.71875
1670914825.811005,41799,0.71875
1670914849.2292552,41849,0.75
1670914872.6434257,41899,0.6875
1670914919.453449,41999,0.59375
1670914942.7589698,42049,0.71875
1670915029.0870602,42199,0.65625
1670915075.7692833,42299,0.40625
1670915192.3477516,42549,0.46875
1670915215.6571922,42599,0.59375
1670915285.631384,42749,0.5
1670915355.7069309,42899,0.6875
1670915425.7935178,43049,0.6875
1670915472.339716,43149,0.65625
1670915542.271851,43299,0.71875
1670915565.827689,43349,0.65625
