"Step","seg-baseline - val/seg_acc_no_bg","seg-baseline - val/seg_acc_no_bg__MIN","seg-baseline - val/seg_acc_no_bg__MAX","seg-finetune-pretrain - val/seg_acc_no_bg","seg-finetune-pretrain - val/seg_acc_no_bg__MIN","seg-finetune-pretrain - val/seg_acc_no_bg__MAX"
"8919","0.4357859790325165","0.4357859790325165","0.4357859790325165","0.4967303276062012","0.4967303276062012","0.4967303276062012"
"17909","0.5232362747192383","0.5232362747192383","0.5232362747192383","0.5480109453201294","0.5480109453201294","0.5480109453201294"
"25919","0.5500476360321045","0.5500476360321045","0.5500476360321045","0.60602867603302","0.60602867603302","0.60602867603302"
"34910","0.6091568470001221","0.6091568470001221","0.6091568470001221","0.6455820202827454","0.6455820202827454","0.6455820202827454"
"42920","0.6165146827697754","0.6165146827697754","0.6165146827697754","0.6518004536628723","0.6518004536628723","0.6518004536628723"
"51910","0.632449209690094","0.632449209690094","0.632449209690094","0.6657211780548096","0.6657211780548096","0.6657211780548096"
"59920","0.6486114263534546","0.6486114263534546","0.6486114263534546","0.679469883441925","0.679469883441925","0.679469883441925"
"68911","0.6476520895957947","0.6476520895957947","0.6476520895957947","0.686254620552063","0.686254620552063","0.686254620552063"
"76921","0.6568695306777954","0.6568695306777954","0.6568695306777954","0.6854403614997864","0.6854403614997864","0.6854403614997864"
"85911","0.6608142256736755","0.6608142256736755","0.6608142256736755","0.6961721181869507","0.6961721181869507","0.6961721181869507"
"93922","0.665533185005188","0.665533185005188","0.665533185005188","0.696306586265564","0.696306586265564","0.696306586265564"
